key,tr,en,ko,ar,zh-CN,zh-TW,ja,de,fr,es,it,nl,pt,vi,ru,id,th
chapter.chapterFour1,BÖLÜM 4,Chapter 4,챕터 4,الفصل ٤,第 4 章,第 4 章,チャプター 4,KAPITEL 4,CHAPITRE 4,CAPÍTULO 4,Capitolo 4,HOOFDSTUK 4,CAPÍTULO 4,CHƯƠNG 4,ГЛАВА 4,BAB 4,บทที่ 4
chapter.chapterFour2,Bölüm 4: Guardians of the Car,"Chapter 4: Guardians of the Car
","챕터 4: Guardians of the Car
",الفصل ٤: حراس السيارات,"第 4 章：车之守护者
","第 4 章：車之守護者
","チャプター 4: Guardians of the Car
","Kapitel 4: Guardians of the Car
","Chapitre 4 : Guardians of the Car
",Capítulo 4: Guardians of the Car,Capitolo 4: Guardiani della macchina,Hoofdstuk 4: Guardians of the Car,Capítulo 4: Guardians of the Car,Chương 4: Vệ Binh Ô Tô,Глава 4: Стражи Автомобиля,Bab 4: Guardians of the Car,บทที่ 4: Guardians of the Car
chapter.chapterFour3,"GOCAR’ın yapay zekası ve hizmetleriyle, trafik kazaları geçmişte kalır ve sürücüler gerçek güvenliği deneyimler. GOCAR’ın vizyonunu benimseyenler, Guardians of the Car olarak anılmaya başlar.

Kurbağa, gökyüzüne bakarak fısıldar:
""Bu dünya senin için, oğlum.""","With GOCAR's AI and services, traffic accidents become a thing of the past, and drivers experience true safety. Those who embraced GOCAR's vision became known as the Guardians of the Car. The Frog gazes at the sky and whispers, “This world is for you, my son.”","GOCAR의 AI와 서비스가 도입되면서 교통사고는 과거의 일이 되었고, 운전자들은 진정한 안전을 경험하게 됩니다.
GOCAR의 비전을 받아들인 이들은 ""Guardians of the Car""로 불리게 되었습니다.
개구리는 하늘을 바라보며 조용히 속삭입니다.
""이 세상은 너를 위한 것이란다, 아들아.""

","بفضل ذكاء GOCAR الاصطناعي وخدماته، أصبحت حوادث المرور شيئًا من الماضي، وأصبح السائقون يعيشون تجربة الأمان الحقيقي. أولئك الذين تبنوا رؤية GOCAR أصبحوا يُعرفون باسم حراس السيارات. ينظر الضفدع إلى السماء ويهمس قائلاً: ""هذا العالم من أجلك، يا بُني.""","在 GOCAR 的 AI 和服务的助力下，交通事故成为历史，驾驶者体验到了何谓真正的行车安全。
那些认同 GOCAR 愿景的人，则被称为车之守护者。
青蛙先生仰望天空，轻声低语：「这个世界是为你而存在的，我的孩子。」
","在 GOCAR 的 AI 和服務的助力下，交通事故成為歷史，駕駛者體驗到了何謂真正的行車安全。
那些認同GOCAR願景的人，則被稱為車之守護者。
青蛙先生仰望天空，輕聲低語：「這個世界是為你而存在的，我的孩子。」","GOCAR の AI とサービスが導入されることで、交通事故は過去のものとなり、運転者たちは真の安全を実感できるようになります。
GOCAR のビジョンを受け入れた人々は「Guardians of the Car」と呼ばれるようになりました。
カエルは空を見上げながら静かにささやきます。
「この世界は君のためにあるんだ、息子よ。」","Dank der KI und Dienstleistungen von GOCAR gehören Verkehrsunfälle der Vergangenheit an und Fahrer erleben wahre Sicherheit. Diejenigen, die GOCARs Vision angenommen haben, wurden als Guardians of the Car bekannt. Der Frosch blickt zum Himmel und flüstert: „Diese Welt ist für dich, mein Sohn.“ Der Frosch blickt zum Himmel und flüstert: „Diese Welt ist für dich, mein Sohn.“","Avec l'IA et les services de GOCAR, les accidents de la route deviennent une chose du passé, et les conducteurs expérimentent une véritable sécurité. Ceux qui ont embrassé la vision de GOCAR sont devenus connus sous le nom de Guardians of the Car. La Grenouille regarde le ciel et murmure : « Ce monde est pour toi, mon fils. »","Con la IA y los servicios de GOCAR, los accidentes de tráfico se convierten en algo del pasado, y los conductores experimentan una verdadera seguridad. Aquellos que adoptaron la visión de GOCAR se conocieron como los Guardians of the Car. La rana mira al cielo y susurra: ""Este mundo es para ti, hijo mío.""","Grazie all'intelligenza artificiale e ai servizi di GOCAR, gli incidenti stradali appartengono al passato e gli automobilisti sperimentano la vera sicurezza. Coloro che hanno adottato la visione di GOCAR sono diventati noti come i Guardiani dell'Auto. La rana guarda il cielo e sussurra: ""Questo mondo è per te, figlio mio.","Met de AI en diensten van GOCAR behoren verkeersongelukken tot het verleden en ervaren bestuurders ware veiligheid. Degenen die de visie van GOCAR omarmden, werden bekend als de Guardians of the Car. De Kikker kijkt naar de hemel en fluistert: ""Deze wereld is voor jou, mijn zoon.""","Com a IA e os serviços do GOCAR, os acidentes de trânsito se tornam coisa do passado, e os motoristas experimentam a verdadeira segurança. Aqueles que abraçaram a visão do GOCAR ficarãoconhecidos como os Guardians of the Car. O Sapo olha para o céu e sussurra: ""Este mundo é para você, meu filho.""","Với AI và các dịch vụ của GOCAR, tai nạn giao thông sẽ chỉ còn là chuyện của quá khứ, và người lái xe sẽ có thể trải nghiệm sự an toàn thực sự. Những người đã đón nhận tầm nhìn của GOCAR trở thành Vệ Binh Ô Tô.
Con Ếch ngước nhìn lên bầu trời và thì thầm: ""Thế giới này là của con, con trai ta.""","С искусственным интеллектом и сервисами GOCAR дорожные аварии остаются в прошлом, а водители обретают подлинную безопасность. Те, кто принял видение GOCAR, стали известны как Стражи Автомобиля. Лягушка смотрит в небо и шепчет: «Этот мир для тебя, мой сын».","Dengan kecerdasan buatan dan layanan GOCAR, kecelakaan lalu lintas menjadi bagian dari masa lalu, dan pengemudi merasakan keamanan sejati. Mereka yang menerima visi GOCAR dikenal sebagai Guardians of the Car.
Sang Katak menatap ke langit dan berbisik, “Dunia ini untukmu, anakku.”","ลืมไปเลยว่าเคยมีอุบัติเหตุเมื่อใช้ AI และบริการจาก GOCAR ผู้ขับขี่จะได้สัมผัสกับความปลอดภัยที่แท้จริง ผู้ที่ยอมรับวิสัยทัศน์ของ GOCAR จะได้รับการขนานนามว่า Guardians of the Car
เดอะฟรอกแหงนมองฟ้าและกระซิบเบา ๆ ว่า ""โลกใบนี้ขอยกให้ลูกนะ"""
chapter.chapterMenu1,Bölüm 1,Chapter 1,"챕터 1
",الفصل الأول,"第 1 章


","第 1 章
","チャプター 1
","Kapitel 1


",Chapitre 1,Capítulo 1,"Capitolo 1 
",Hoofdstuk 1,Capítulo 1,"Chương 1


",ГЛАВА 1,"Bab 1


",บทที่ 1
chapter.chapterMenu2,Bölüm 2,Chapter 2,챕터 2,الفصل الثاني,第 2 章,"第 2 章
",チャプター 2,Kapitel 2,Chapitre 2,Capítulo 2,Capitolo 2,Hoofdstuk 2,Capítulo 2,Chương 2,ГЛАВА 2,Bab 2,บทที่ 2
chapter.chapterMenu3,Bölüm 3,Chapter 3,챕터 3,الفصل الثالث,第 3 章,"第 3 章
",チャプター 3,Kapitel 3,Chapitre 3,Capítulo 3,Capitolo 3,Hoofdstuk 3,Capítulo 3,Chương 3,ГЛАВА 3,Bab 3,บทที่ 3
chapter.chapterMenu4,Bölüm 4,Chapter 4,챕터 4,الفصل الرابع,第 4 章,第 4 章,"
チャプター 4",Kapitel 4,Chapitre 4,Capítulo 4,Capitolo 4,Hoofdstuk 4,Capítulo 4,Chương 4,ГЛАВА 4,Bab 4,บทที่ 4
chapter.chapterOne1,BÖLÜM 1,"CHAPTER 1 


",챕터 1,الفصل الأول,"第 1 章
","第 1 章
","チャプター 1
",KAPITEL 1,"CHAPITRE 1
",CAPÍTULO 1,CAPITOLO 1 ,HOOFDSTUK 1,CAPÍTULO 1,CHƯƠNG 1,ГЛАВА 1," BAB 1
",บทที่ 1
chapter.chapterOne2,"Bölüm 1: Trajik Bir Kayıp, Yeni Bir Görev","Chapter 1 : A Tragic Loss, A New Mission","챕터 1: 비극에서 시작된 새로운 사명
",الفصل ١: خسارة مأساوية، ومهمة جديدة,第 1 章：从悲剧中诞生的新使命,"第 1 章：從悲劇中誕生的新使命
","チャプター 1: 悲劇から始まった新しい使命
","Kapitel 1: Ein tragischer Verlust, eine neue Mission","Chapitre 1 : Une perte tragique, une nouvelle mission","Capítulo 1: Una pérdida trágica, una nueva misión","Capitolo 1: Una tragica perdita, una nuova missione","Hoofdstuk 1: Een tragisch verlies, een nieuwe missie","Capítulo 1: A Perda Trágica, Uma Nova Missão","Chương 1: Một Mất Mát Đau Thương, Một Sứ Mệnh Mới","Глава 1: Трагическая утрата, новая миссия","Bab 1: Kecelakaan Tragis, Misi Baru",บทที่ 1: การสูญเสียที่เศร้าโศกกับภารกิจใหม่
chapter.chapterOne3,"Kurbağa, sevgili oğluyla mutlu bir hayat yaşıyordu. Ancak bir gün, trajik bir trafik kazası oğlunu ondan aldı.
Her yıl trafik kazalarında bir milyondan fazla insan hayatını kaybederken, Kurbağa şu yemini etti:
'Kimse bir daha bu acıyı yaşamamalı.","The Frog lived a joyful life with his beloved son. But one day, a tragic car accident took his son away. With over a million lives lost to traffic accidents each year, The Frog vowed, ""No one should ever experience this pain again.""
","개구리는 사랑하는 아들과 행복한 나날을 보내고 있었습니다. 하지만 어느 날, 갑작스러운 차 사고로 아들을 잃고 맙니다. 매년 100만 명 이상이 교통사고로 세상을 떠나는 현실 속에서, 개구리는 결심합니다. ""이제 더 이상 아무도 나처럼 고통받지 않게 하겠다.""
","عاش الضفدع حياة سعيدة مع ابنه الحبيب. ولكن في يوم من الأيام، أخذ حادث سيارة مأساوي ابنه بعيدًا عنه مع فقدان أكثر من مليون شخص سنويًا بسبب حوادث المرور، أقسم الضفدع قائلاً: ""يجب ألا يعاني أي شخص آخر من هذا الألم مرة أخرى","青蛙先生本与心爱的儿子过着幸福快乐的生活。然而某天，因一场突如其来的车祸意外，他失去了宝贵的儿子。
在知道每年有超过一百万人因交通事故而离开人世后，青蛙先生便发誓：「我再也不会让任何人经历像我一样的痛苦。","青蛙先生本與心愛的兒子過著幸福快樂的生活。然而某天，因一場突如其來的車禍意外，他失去了寶貴的兒子。
在知道每年有超過一百萬人因交通事故而離開人世後，青蛙先生便發誓：「我再也不會讓任何人經歷像我一樣的痛苦。」",カエルは愛する息子と幸せな日々を過ごしていました。しかし、ある日突然の車の事故で息子を失ってしまいます。毎年100万人以上が交通事故で命を落とす中、カエルは決意します。「もう二度と誰も私のように苦しませない。」,"Der Frosch lebte ein glückliches Leben mit seinem geliebten Sohn. Doch eines Tages nahm ein tragischer Autounfall ihm seinen Sohn. Da jedes Jahr über eine Million Menschen bei Verkehrsunfällen ums Leben kommen, schwor der Frosch: „Niemand soll diesen Schmerz jemals wieder erleben müssen.“","La Grenouille vivait une vie joyeuse avec son fils bien-aimé. Mais un jour, un tragique accident de voiture emporta son fils. Avec plus d'un million de vies perdues chaque année à cause des accidents de la route, La Grenouille jura : « Personne ne devrait jamais éprouver cette douleur à nouveau. »","La rana vivía una vida alegre con su querido hijo. Pero un día, un trágico accidente de coche le arrebató a su hijo. Con más de un millón de vidas perdidas cada año debido a los accidentes de tráfico, la rana juró: ""Nadie debería experimentar este dolor nuevamente.""","Il Ranocchio viveva una vita gioiosa con il suo amato figlio. Ma un giorno, un tragico incidente d'auto gli portò via il figlio. Con più di un milione di vite perse ogni anno a causa di incidenti stradali, The Frog giurò: ""Nessuno dovrà mai più provare questo dolore.","De Kikker leefde een gelukkig leven met zijn geliefde zoon. Maar op een dag nam een tragisch auto-ongeluk zijn zoon weg. Met meer dan een miljoen verkeersdoden per jaar, zwoer de Kikker: ""Niemand zou deze pijn ooit mogen ervaren.""","O Sapo vivia uma vida feliz com seu amado filho. Mas um dia, um trágico acidente de carro levou seu filho embora.
 Com mais de um milhão de vidas perdidas em acidentes de trânsito todos os anos, o Sapo fez um juramento:
 ""Ninguém jamaisdeveria sentiressa dor novamente.""","Con Ếch đã từng có một cuộc sống hạnh phúc với người con yêu quý của mình. Nhưng một ngày, một tai nạn xe hơi đau thương đã cướp đi con trai của ông. Với hơn một triệu sinh mạng mất đi mỗi năm vì tai nạn giao thông, Con Ếch đã thề:
""Không ai nên trải qua nỗi đau này nữa.""","Лягушка вела радостную жизнь со своим любимым сыном. Но однажды трагическая автомобильная авария унесла её сына. С более чем миллионом жизней, унесённых в результате дорожно-транспортных происшествий каждый год, Лягушка поклялась:
""Никто больше не должен испытывать эту боль.""","Sang Katak menjalani kehidupan bahagia bersama putranya yang tercinta. Namun suatu hari, sebuah kecelakaan mobil tragis merenggut nyawa putranya. Dengan lebih dari satu juta nyawa hilang akibat kecelakaan lalu lintas setiap tahun, Sang Katak bersumpah, ""Tak seorang pun boleh mengalami penderitaan ini lagi.""","เดอะฟรอกใช้ชีวิตอยู่กับลูกชายที่เขารักอย่างมีความสุข แต่อยู่มาวันหนึ่ง อุบัติเหตุทางรถยนต์ได้พรากลูกชายของเขาไป ในทุกปีมีมากกว่า 1 ล้านชีวิตที่ต้องสูญเสียไปจากอุบัติเหตุทางถนน ด้วยเหตุนี้เดอะฟรอกจึงสัญญาว่ากับตัวเองว่า ""ไม่มีใครควรต้องประสบกับความเจ็บปวดนี้อีกต่อไป"""
